,precision,recall,f1-score,support
Close-up_behind_the_goal,1.0,0.992,0.9959839357429718,125.0
Close-up_corner,0.9727272727272728,0.856,0.9106382978723404,125.0
Close-up_player_or_field_referee,0.8790322580645161,0.872,0.8755020080321285,125.0
Close-up_side_staff,0.8692307692307693,0.904,0.8862745098039215,125.0
Main_camera_center,0.9888888888888889,0.712,0.827906976744186,125.0
Main_camera_left,0.7884615384615384,0.984,0.8754448398576512,125.0
Main_camera_right,0.803921568627451,0.984,0.8848920863309353,125.0
Public,0.9911504424778761,0.896,0.9411764705882353,125.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.911676592309789,0.8999999999999999,0.8997273906215463,1000.0
weighted avg,0.9116765923097891,0.9,0.8997273906215462,1000.0
