,precision,recall,f1-score,support
Close-up_behind_the_goal,0.9393939393939394,0.992,0.9649805447470817,125.0
Close-up_corner,0.9008264462809917,0.872,0.8861788617886179,125.0
Close-up_player_or_field_referee,0.94,0.376,0.5371428571428571,125.0
Close-up_side_staff,0.5870646766169154,0.944,0.7239263803680982,125.0
Main_camera_center,0.9885057471264368,0.688,0.8113207547169812,125.0
Main_camera_left,0.6288659793814433,0.976,0.7648902821316614,125.0
Main_camera_right,0.8428571428571429,0.944,0.8905660377358491,125.0
Public,1.0,0.6,0.75,125.0
accuracy,0.799,0.799,0.799,0.799
macro avg,0.8534392414571086,0.7989999999999999,0.7911257148288934,1000.0
weighted avg,0.8534392414571087,0.799,0.7911257148288934,1000.0
