,precision,recall,f1-score,support
Close-up_behind_the_goal,0.992,0.992,0.992,125.0
Close-up_corner,0.9907407407407407,0.856,0.9184549356223176,125.0
Close-up_player_or_field_referee,0.8547008547008547,0.8,0.8264462809917356,125.0
Close-up_side_staff,0.7702702702702703,0.912,0.8351648351648352,125.0
Main_camera_center,0.875,0.896,0.8853754940711462,125.0
Main_camera_left,0.8604651162790697,0.888,0.8740157480314961,125.0
Main_camera_right,0.8837209302325582,0.912,0.8976377952755905,125.0
Public,0.9827586206896551,0.912,0.946058091286307,125.0
accuracy,0.896,0.896,0.896,0.896
macro avg,0.9012070666141436,0.896,0.8968941475554285,1000.0
weighted avg,0.9012070666141435,0.896,0.8968941475554285,1000.0
