,precision,recall,f1-score,support
Close-up_behind_the_goal,0.9612403100775194,0.992,0.9763779527559056,125.0
Close-up_corner,0.9912280701754386,0.904,0.9456066945606695,125.0
Close-up_player_or_field_referee,0.8346456692913385,0.848,0.8412698412698413,125.0
Close-up_side_staff,0.8188976377952756,0.832,0.8253968253968254,125.0
Main_camera_center,0.8863636363636364,0.936,0.9105058365758755,125.0
Main_camera_left,0.9279279279279279,0.824,0.8728813559322034,125.0
Main_camera_right,0.8273381294964028,0.92,0.8712121212121212,125.0
Public,0.9586776859504132,0.928,0.943089430894309,125.0
accuracy,0.898,0.898,0.898,0.898
macro avg,0.9007898833847441,0.8979999999999999,0.8982925073247189,1000.0
weighted avg,0.9007898833847442,0.898,0.8982925073247189,1000.0
