,precision,recall,f1-score,support
Close-up_behind_the_goal,0.7005649717514124,0.992,0.8211920529801324,125.0
Close-up_corner,0.9375,0.6,0.7317073170731707,125.0
Close-up_player_or_field_referee,0.6875,0.44,0.5365853658536586,125.0
Close-up_side_staff,0.56353591160221,0.816,0.6666666666666666,125.0
Main_camera_center,0.9186046511627907,0.632,0.7488151658767772,125.0
Main_camera_left,0.7025316455696202,0.888,0.784452296819788,125.0
Main_camera_right,0.8357142857142857,0.936,0.8830188679245283,125.0
Public,0.9795918367346939,0.768,0.8609865470852018,125.0
accuracy,0.759,0.759,0.759,0.759
macro avg,0.7906929128168766,0.759,0.7541780350349905,1000.0
weighted avg,0.7906929128168766,0.759,0.7541780350349906,1000.0
