,precision,recall,f1-score,support
Close-up_behind_the_goal,0.9916666666666667,0.952,0.9714285714285714,125.0
Close-up_corner,0.9914529914529915,0.928,0.9586776859504132,125.0
Close-up_player_or_field_referee,0.8,0.96,0.8727272727272727,125.0
Close-up_side_staff,0.9174311926605505,0.8,0.8547008547008547,125.0
Main_camera_center,0.963963963963964,0.856,0.9067796610169492,125.0
Main_camera_left,0.8823529411764706,0.96,0.9195402298850575,125.0
Main_camera_right,0.8026315789473685,0.976,0.8808664259927798,125.0
Public,1.0,0.84,0.9130434782608695,125.0
accuracy,0.909,0.909,0.909,0.909
macro avg,0.9186874168585015,0.9089999999999999,0.909720522495346,1000.0
weighted avg,0.9186874168585015,0.909,0.9097205224953459,1000.0
