,precision,recall,f1-score,support
Close-up_behind_the_goal,0.968,0.968,0.968,125.0
Close-up_corner,0.9824561403508771,0.896,0.9372384937238494,125.0
Close-up_player_or_field_referee,0.9256198347107438,0.896,0.9105691056910569,125.0
Close-up_side_staff,0.8248175182481752,0.904,0.8625954198473282,125.0
Main_camera_center,0.8157894736842105,0.744,0.7782426778242678,125.0
Main_camera_left,0.9152542372881356,0.864,0.8888888888888888,125.0
Main_camera_right,0.7243589743589743,0.904,0.8042704626334519,125.0
Public,0.9478260869565217,0.872,0.9083333333333333,125.0
accuracy,0.881,0.881,0.881,0.881
macro avg,0.8880152831997048,0.881,0.8822672977427721,1000.0
weighted avg,0.8880152831997048,0.881,0.882267297742772,1000.0
