,precision,recall,f1-score,support
Close-up_behind_the_goal,0.9504132231404959,0.92,0.9349593495934959,125.0
Close-up_corner,0.9545454545454546,0.84,0.8936170212765957,125.0
Close-up_player_or_field_referee,0.8817204301075269,0.656,0.7522935779816514,125.0
Close-up_side_staff,0.6022099447513812,0.872,0.7124183006535948,125.0
Main_camera_center,0.9565217391304348,0.704,0.8110599078341014,125.0
Main_camera_left,0.7862595419847328,0.824,0.8046875,125.0
Main_camera_right,0.656084656084656,0.992,0.7898089171974523,125.0
Public,0.9397590361445783,0.624,0.75,125.0
accuracy,0.804,0.804,0.804,0.804
macro avg,0.8409392532361576,0.804,0.8061055718171114,1000.0
weighted avg,0.8409392532361576,0.804,0.8061055718171115,1000.0
