,precision,recall,f1-score,support
Close-up_behind_the_goal,0.9919354838709677,0.984,0.9879518072289156,125.0
Close-up_corner,0.9137931034482759,0.848,0.8796680497925311,125.0
Close-up_player_or_field_referee,0.6706586826347305,0.896,0.7671232876712328,125.0
Close-up_side_staff,0.736,0.736,0.736,125.0
Main_camera_center,0.36923076923076925,0.96,0.5333333333333333,125.0
Main_camera_left,0.7555555555555555,0.272,0.4,125.0
Main_camera_right,0.6428571428571429,0.072,0.12949640287769784,125.0
Public,0.9404761904761905,0.632,0.7559808612440191,125.0
accuracy,0.675,0.675,0.675,0.675
macro avg,0.752563366009204,0.675,0.6486942177684663,1000.0
weighted avg,0.752563366009204,0.675,0.6486942177684661,1000.0
