,precision,recall,f1-score,support
Close-up_behind_the_goal,0.9393939393939394,0.992,0.9649805447470817,125.0
Close-up_corner,0.9705882352941176,0.792,0.8722466960352423,125.0
Close-up_player_or_field_referee,0.6607142857142857,0.888,0.757679180887372,125.0
Close-up_side_staff,0.768595041322314,0.744,0.7560975609756098,125.0
Main_camera_center,0.38271604938271603,0.992,0.5523385300668151,125.0
Main_camera_left,0.7894736842105263,0.24,0.36809815950920244,125.0
Main_camera_right,0.8333333333333334,0.12,0.2097902097902098,125.0
Public,0.979381443298969,0.76,0.8558558558558559,125.0
accuracy,0.691,0.691,0.691,0.691
macro avg,0.7905245014937752,0.6910000000000001,0.6671358422334237,1000.0
weighted avg,0.7905245014937752,0.691,0.6671358422334236,1000.0
