,precision,recall,f1-score,support
Close-up_behind_the_goal,0.9538461538461539,0.992,0.9725490196078431,125.0
Close-up_corner,0.9893617021276596,0.744,0.8493150684931506,125.0
Close-up_player_or_field_referee,0.7244094488188977,0.736,0.7301587301587301,125.0
Close-up_side_staff,0.66,0.792,0.72,125.0
Main_camera_center,0.8351648351648352,0.608,0.7037037037037037,125.0
Main_camera_left,0.703030303030303,0.928,0.8,125.0
Main_camera_right,0.7631578947368421,0.928,0.8375451263537906,125.0
Public,1.0,0.728,0.8425925925925926,125.0
accuracy,0.807,0.807,0.807,0.807
macro avg,0.8286212922155864,0.807,0.8069830301137263,1000.0
weighted avg,0.8286212922155864,0.807,0.8069830301137264,1000.0
