,precision,recall,f1-score,support
Close-up_behind_the_goal,0.992,0.992,0.992,125.0
Close-up_corner,0.9826086956521739,0.904,0.9416666666666667,125.0
Close-up_player_or_field_referee,0.8174603174603174,0.824,0.8207171314741036,125.0
Close-up_side_staff,0.7761194029850746,0.832,0.803088803088803,125.0
Main_camera_center,0.8,0.928,0.8592592592592593,125.0
Main_camera_left,0.8974358974358975,0.84,0.8677685950413223,125.0
Main_camera_right,0.8278688524590164,0.808,0.8178137651821862,125.0
Public,0.9655172413793104,0.896,0.9294605809128631,125.0
accuracy,0.878,0.878,0.878,0.878
macro avg,0.8823763009214738,0.878,0.8789718502031505,1000.0
weighted avg,0.8823763009214738,0.878,0.8789718502031506,1000.0
