,precision,recall,f1-score,support
Close-up_behind_the_goal,0.8732394366197183,0.992,0.9288389513108615,125.0
Close-up_corner,0.7909090909090909,0.696,0.7404255319148936,125.0
Close-up_player_or_field_referee,0.7012987012987013,0.864,0.7741935483870968,125.0
Close-up_side_staff,0.5705128205128205,0.712,0.6334519572953736,125.0
Main_camera_center,0.42379182156133827,0.912,0.5786802030456852,125.0
Main_camera_left,0.8441558441558441,0.52,0.6435643564356436,125.0
Main_camera_right,0.625,0.08,0.14184397163120568,125.0
Public,0.9736842105263158,0.592,0.736318407960199,125.0
accuracy,0.671,0.671,0.671,0.671
macro avg,0.7253239906979786,0.671,0.6471646159976199,1000.0
weighted avg,0.7253239906979786,0.671,0.6471646159976199,1000.0
