,precision,recall,f1-score,support
Close-up_behind_the_goal,0.96875,0.992,0.9802371541501976,125.0
Close-up_corner,0.9157894736842105,0.696,0.7909090909090909,125.0
Close-up_player_or_field_referee,0.7482014388489209,0.832,0.7878787878787878,125.0
Close-up_side_staff,0.6546762589928058,0.728,0.6893939393939394,125.0
Main_camera_center,0.940677966101695,0.888,0.9135802469135802,125.0
Main_camera_left,0.7682119205298014,0.928,0.8405797101449275,125.0
Main_camera_right,0.8467153284671532,0.928,0.8854961832061069,125.0
Public,1.0,0.744,0.8532110091743119,125.0
accuracy,0.842,0.842,0.842,0.842
macro avg,0.8553777983280733,0.8420000000000001,0.8426607652213678,1000.0
weighted avg,0.8553777983280734,0.842,0.8426607652213678,1000.0
