,precision,recall,f1-score,support
Close-up_behind_the_goal,0.7469879518072289,0.992,0.852233676975945,125.0
Close-up_corner,0.708029197080292,0.776,0.7404580152671756,125.0
Close-up_player_or_field_referee,0.660377358490566,0.56,0.6060606060606061,125.0
Close-up_side_staff,0.6923076923076923,0.576,0.62882096069869,125.0
Main_camera_center,0.297029702970297,0.96,0.45368620037807184,125.0
Main_camera_left,0.5714285714285714,0.064,0.11510791366906475,125.0
Main_camera_right,0.8095238095238095,0.136,0.2328767123287671,125.0
Public,0.875,0.336,0.48554913294797686,125.0
accuracy,0.55,0.55,0.55,0.55
macro avg,0.6700855354510571,0.55,0.5143491522907871,1000.0
weighted avg,0.6700855354510572,0.55,0.5143491522907871,1000.0
