,precision,recall,f1-score,support
Close-up_behind_the_goal,0.8857142857142857,0.992,0.9358490566037736,125.0
Close-up_corner,0.8677685950413223,0.84,0.8536585365853658,125.0
Close-up_player_or_field_referee,0.7021276595744681,0.792,0.7443609022556391,125.0
Close-up_side_staff,0.7241379310344828,0.672,0.6970954356846473,125.0
Main_camera_center,0.319693094629156,1.0,0.4844961240310077,125.0
Main_camera_left,0.6153846153846154,0.064,0.11594202898550725,125.0
Main_camera_right,0.7058823529411765,0.096,0.16901408450704225,125.0
Public,1.0,0.488,0.6559139784946236,125.0
accuracy,0.618,0.618,0.618,0.618
macro avg,0.7275885667899384,0.618,0.5820412683934508,1000.0
weighted avg,0.7275885667899383,0.618,0.5820412683934507,1000.0
